MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIPO 10,01Post,5/28/1993 12:00:00 AM,1,1,114,23,2,0,0,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,2,2,101,21,0,0,0,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,3,3,169,4,2,1,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 10,01Post,5/28/1993 12:00:00 AM,4,4,295,21,3,0,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 10,01Year1,10/12/1994 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 10,01Year1,10/12/1994 12:00:00 AM,1,1,114,23,2,0,0,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 10,01Year1,10/12/1994 12:00:00 AM,2,2,101,21,1,1,0,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 10,01Year1,10/12/1994 12:00:00 AM,3,3,169,4,0,2,1,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 10,01Year1,10/12/1994 12:00:00 AM,4,4,295,21,2,0,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 10,01Year2,10/17/1995 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 10,01Year2,10/17/1995 12:00:00 AM,1,1,114,23,2,0,0,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 10,01Year2,10/17/1995 12:00:00 AM,2,2,101,21,2,0,0,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 10,01Year2,10/17/1995 12:00:00 AM,3,3,169,4,0,2,1,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 10,01Year2,10/17/1995 12:00:00 AM,4,4,295,21,9,0,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 10,01Year5,6/18/1998 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 10,01Year5,6/18/1998 12:00:00 AM,1,1,114,23,2,0,0,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 10,01Year5,6/18/1998 12:00:00 AM,2,2,101,21,3,1,0,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 10,01Year5,6/18/1998 12:00:00 AM,3,3,169,4,0,0,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 10,01Year5,6/18/1998 12:00:00 AM,4,4,295,21,3,1,2,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 10,02Post,6/14/2000 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 10,02Post,6/14/2000 12:00:00 AM,1,1,114,23,1,0,0,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 10,02Post,6/14/2000 12:00:00 AM,2,2,101,21,2,3,0,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 10,02Post,6/14/2000 12:00:00 AM,3,3,169,4,0,0,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 10,02Post,6/14/2000 12:00:00 AM,4,4,295,21,0,0,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 10,02Year1,5/22/2001 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 10,02Year1,5/22/2001 12:00:00 AM,1,1,114,23,2,0,0,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 10,02Year1,5/22/2001 12:00:00 AM,2,2,101,21,1,0,0,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 10,02Year1,5/22/2001 12:00:00 AM,3,3,169,4,0,1,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIPO 10,02Year1,5/22/2001 12:00:00 AM,4,4,295,21,1,0,0,PIPO,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIPO 10,02Year2,4/29/2002 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIPO 10,02Year2,4/29/2002 12:00:00 AM,1,1,114,23,4,0,0,PIPO,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIPO 10,02Year2,4/29/2002 12:00:00 AM,2,2,101,21,0,2,0,PIPO,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIPO 10,02Year2,4/29/2002 12:00:00 AM,3,3,169,4,0,0,0,PIPO,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
