MacroPlot.Name,Monitoring.Status,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,X
PIED 04,01Year5,7/23/1997 12:00:00 AM,1,1,24,6,67,8,3,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 04,01Year5,7/23/1997 12:00:00 AM,2,2,190,2,62,5,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 04,01Year5,7/23/1997 12:00:00 AM,3,3,134,2,53,2,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 04,01Year5,7/23/1997 12:00:00 AM,4,4,336,3,48,5,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 04,02Pre,9/14/2023 9:58:03 PM,,,,,,,,,,,,,4,6,6,12,Cierley,Brannfors,Horse; cow,,,,True,
PIED 04,02Pre,9/14/2023 9:58:03 PM,1,1,24,6,2,2,2,PIED,Crosses Q1-Q4 at 13m; L of JUOS @ 83ft; R of JUOS@ 85ft; R of JUOS @ 87ft; rebar behind shrub,,,,,,,,,,,,,,,
PIED 04,02Pre,9/14/2023 9:58:03 PM,2,2,190,4,52,4,0,PIED,R of JUOS #51 @5ft; R of PIED #52 @15ft; rebar behind large DD PIED by shrub ,,,,,,,,,,,,,,,
PIED 04,02Pre,9/14/2023 9:58:03 PM,3,3,134,3,22,6,0,PIED,R of JUOS #8 @8ft; R of PIED #10 @31ft; L ofPIED @ 52ft; R/underneath leaning PIED @ 92ft ,,,,,,,,,,,,,,,
PIED 04,02Pre,9/14/2023 9:58:03 PM,4,4,336,7,26,12,4,PIED,L of PIED @ 62ft,,,,,,,,,,,,,,,
PIED 04,Pre,7/7/1991 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 04,Pre,7/7/1991 12:00:00 AM,1,1,24,6,11,2,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 04,Pre,7/7/1991 12:00:00 AM,2,2,190,2,24,1,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 04,Pre,7/7/1991 12:00:00 AM,3,3,134,2,17,5,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 04,Pre,7/7/1991 12:00:00 AM,4,4,336,3,1,3,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 13,01Post,10/3/1993 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 13,01Post,10/3/1993 12:00:00 AM,1,1,3,0,10,3,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 13,01Post,10/3/1993 12:00:00 AM,2,2,14,0,0,0,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 13,01Post,10/3/1993 12:00:00 AM,3,3,349,1,4,6,4,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 13,01Post,10/3/1993 12:00:00 AM,4,4,43,5,2,0,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 13,01Year1,5/6/1994 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 13,01Year1,5/6/1994 12:00:00 AM,1,1,3,0,24,6,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 13,01Year1,5/6/1994 12:00:00 AM,2,2,14,0,8,0,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 13,01Year1,5/6/1994 12:00:00 AM,3,3,349,1,7,2,1,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 13,01Year1,5/6/1994 12:00:00 AM,4,4,43,5,6,0,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 13,01Year2,4/25/1995 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 13,01Year2,4/25/1995 12:00:00 AM,1,1,3,0,22,4,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 13,01Year2,4/25/1995 12:00:00 AM,2,2,14,0,2,0,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 13,01Year2,4/25/1995 12:00:00 AM,3,3,349,1,5,2,2,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 13,01Year2,4/25/1995 12:00:00 AM,4,4,43,5,4,0,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 13,01Year5,6/11/1998 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 13,01Year5,6/11/1998 12:00:00 AM,1,1,3,0,24,0,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 13,01Year5,6/11/1998 12:00:00 AM,2,2,14,0,1,0,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 13,01Year5,6/11/1998 12:00:00 AM,3,3,349,1,3,1,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 13,01Year5,6/11/1998 12:00:00 AM,4,4,43,5,0,0,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 13,02Pre,9/14/2023 11:37:28 PM,,,,,,,,,,,,,4,6,6,12,Brannfors,Brannfors,Horse; cow,,,,True,
PIED 13,02Pre,9/14/2023 11:37:28 PM,1,1,3,0,19,6,0,PIED,R of PIED @ 48ft; L of PIED #11 @61ft; R of PIED #8 @77ft,,,,,,,,,,,,,,,
PIED 13,02Pre,9/14/2023 11:37:28 PM,2,2,14,0,6,0,0,PIED,R of PIPO #6 @72ft,,,,,,,,,,,,,,,
PIED 13,02Pre,9/14/2023 11:37:28 PM,3,3,349,1,8,2,1,PIED,L of PIPO @78ft,,,,,,,,,,,,,,,
PIED 13,02Pre,9/14/2023 11:37:28 PM,4,4,43,5,12,3,0,PIED,L of lil PIED @ 2ft; R of PIED #12 @15ft; L of dead PIED #14 @27ft; R of PIED @84ft,,,,,,,,,,,,,,,
PIED 13,Pre,4/27/1993 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 13,Pre,4/27/1993 12:00:00 AM,1,1,3,0,10,3,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 13,Pre,4/27/1993 12:00:00 AM,2,2,14,0,0,0,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 13,Pre,4/27/1993 12:00:00 AM,3,3,349,1,4,6,4,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 13,Pre,4/27/1993 12:00:00 AM,4,4,43,5,2,0,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 07,01Post,11/14/1994 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 07,01Post,11/14/1994 12:00:00 AM,1,1,243,0,6,0,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 07,01Post,11/14/1994 12:00:00 AM,2,2,176,0,1,0,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 07,01Post,11/14/1994 12:00:00 AM,3,3,129,2,15,2,1,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 07,01Post,11/14/1994 12:00:00 AM,4,4,296,0,10,2,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 07,01Year1,6/2/1995 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 07,01Year1,6/2/1995 12:00:00 AM,1,1,243,0,6,0,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 07,01Year1,6/2/1995 12:00:00 AM,2,2,176,0,2,2,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 07,01Year1,6/2/1995 12:00:00 AM,3,3,129,2,10,2,1,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 07,01Year1,6/2/1995 12:00:00 AM,4,4,296,0,9,5,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 07,01Year2,6/17/1996 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 07,01Year2,6/17/1996 12:00:00 AM,1,1,243,0,2,6,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 07,01Year2,6/17/1996 12:00:00 AM,2,2,176,0,5,3,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 07,01Year2,6/17/1996 12:00:00 AM,3,3,129,2,12,2,0,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
PIED 07,01Year2,6/17/1996 12:00:00 AM,4,4,296,0,5,2,0,PIED,From FMH DFTRANS 1057,,, fuel4_ALL,,,,,,,,,,,,
PIED 07,01Year5,5/3/1999 12:00:00 AM,,,,,,,,,,,,,4,6,6,12,,,,,,,True,
PIED 07,01Year5,5/3/1999 12:00:00 AM,1,1,243,0,4,3,0,PIED,From FMH DFTRANS 1057,,, fuel1_ALL,,,,,,,,,,,,
PIED 07,01Year5,5/3/1999 12:00:00 AM,2,2,176,0,1,0,0,PIED,From FMH DFTRANS 1057,,, fuel2_ALL,,,,,,,,,,,,
PIED 07,01Year5,5/3/1999 12:00:00 AM,3,3,129,2,15,4,1,PIED,From FMH DFTRANS 1057,,, fuel3_ALL,,,,,,,,,,,,
